scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,window_rank,window_start_date,window_end_date,window_cumulative_return,window_max_drawdown,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
rolling_drawdown_01,fixed,0.0,0.0,0.0,0.0,1,56.37729172266981,98.66026051467216,3,3.0,3.0,0.0,0.18991762690334907,281.886458613349,1,2025-12-11,2026-02-20,-0.414685220793066,-0.45759831051622724,3.0,True,True,0.6800982904021404,3.0,2.0,3.0,2.0,3.0,1.0,2.2,2,81.04235685133784,0.0
rolling_drawdown_01,twap,0.2361111111111111,336.7111515111001,323.4251385169886,293.53821641555953,0,0.0,96.80476006939205,16,10.0,10.0,0.0,0.0,318.9964675189515,1,2025-12-11,2026-02-20,-0.414685220793066,-0.45759831051622724,10.0,False,True,0.29882958389098757,4.0,4.0,1.0,1.0,4.0,4.0,2.8,2,24.20119001734801,407.60292639476364
rolling_drawdown_01,buffer,0.0,0.0,0.0,0.0,2,63.42445318800354,105.7074219800059,4,-43.0,0.0,43.0,0.11300357243741227,140.9432293066745,1,2025-12-11,2026-02-20,-0.414685220793066,-0.45759831051622724,0.0,True,True,0.6981238618598778,1.0,2.0,4.0,3.0,1.5,2.0,2.5,2,89.85130868300502,0.0
rolling_drawdown_01,uspl,0.0,0.0,0.0,0.0,5,48.477191093698934,108.87778327723618,11,-47.0,0.0,47.0,0.05649339424273816,77.53600336206878,1,2025-12-11,2026-02-20,-0.414685220793066,-0.45759831051622724,0.0,True,True,0.6888391685180114,2.0,2.0,2.0,4.0,1.5,3.0,2.5,2,75.69663691300798,0.0
rolling_drawdown_02,fixed,0.0,0.0,0.0,0.0,1,56.313037590451295,98.54781578328976,3,3.0,3.0,0.0,0.19084089118792832,281.56518795225645,2,2025-12-10,2026-02-19,-0.4116564016127554,-0.45759831051622724,3.0,True,True,0.6791956900058952,3.0,2.0,3.0,2.0,3.0,1.0,2.2,2,80.94999153627373,0.0
rolling_drawdown_02,twap,0.2222222222222222,334.252463260681,320.8601824781037,289.35531352062003,0,0.0,96.80627073670702,15,10.0,10.0,0.0,0.0,316.3960888839113,2,2025-12-10,2026-02-19,-0.4116564016127554,-0.45759831051622724,10.0,False,True,0.299045011519322,4.0,4.0,1.0,1.0,4.0,4.0,2.8,2,24.201567684176755,404.42329829327394
rolling_drawdown_02,buffer,0.0,0.0,0.0,0.0,2,63.35216728925771,105.58694548209617,4,-43.0,0.0,43.0,0.11401449694251838,140.78259397612823,2,2025-12-10,2026-02-19,-0.4116564016127554,-0.45759831051622724,0.0,True,True,0.6977747871594371,1.0,2.0,4.0,3.0,1.5,2.0,2.5,2,89.74890365978175,0.0
rolling_drawdown_02,uspl,0.0,0.0,0.0,0.0,5,49.537216631716355,108.46387727509415,11,-44.0,0.0,44.0,0.06073707616986471,83.2439581161687,2,2025-12-10,2026-02-19,-0.4116564016127554,-0.45759831051622724,0.0,True,True,0.6820549447568423,2.0,2.0,2.0,4.0,1.5,3.0,2.5,2,76.6531859504899,0.0
rolling_drawdown_03,fixed,0.013888888888888888,42.104578085696176,42.104578085696176,42.104578085696176,0,0.0,89.79805399969428,3,3.0,3.0,0.0,0.11779902470365541,256.56586857055504,3,2025-11-27,2026-02-06,-0.39865136159848813,-0.45759831051622724,3.0,False,True,0.5547348501335153,2.5,2.5,2.0,3.5,3.5,2.5,2.8,1,22.44951349992357,52.63072260712022
rolling_drawdown_03,twap,0.013888888888888888,231.95762700702744,231.95762700702744,231.95762700702744,0,0.0,0.0,0,,0.0,0.0,1.0,2052.5269485644403,3,2025-11-27,2026-02-06,-0.39865136159848813,-0.45759831051622724,0.0,False,True,0.6177512016581705,1.0,4.0,2.0,1.0,1.5,1.0,1.9,4,0.0,289.9470337587843
